"STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","total_votes","per_gop","Crude.Prevalence.Estimate","race"
"Alabama","Autauga County",60342,29277,31065,28190,72.6640652713728,24.5,74.4605747240728
"Alabama","Baldwin County",253507,123497,130010,121808,78.646722711152,24.6,87.3731297360625
"Alabama","Barbour County",24585,13066,11519,9832,57.0179007323027,23.7,49.6278218425869
"Alabama","Bibb County",21868,11530,10338,9241,81.939184070988,24.8,76.6782513261386
"Alabama","Blount County",59816,29756,30060,28115,90.1796194202383,26.7,95.2554500468102
"Alabama","Bullock County",9897,5460,4437,4106,26.8144179249878,22,26.1998585429928
"Alabama","Butler County",18382,8599,9783,8467,61.0842092830991,23.9,51.4089870525514
"Alabama","Calhoun County",116429,56419,60010,48530,71.9390067999176,26.4,73.660342354568
"Alabama","Chambers County",34079,16092,17987,14221,61.2544828071162,24.1,57.3931159951876
"Alabama","Cherokee County",25666,12833,12833,12984,87.4768946395564,25.9,92.3751266266656
"Alabama","Chilton County",46431,22819,23612,19728,85.7664233576642,27,86.7286941913808
"Alabama","Choctaw County",12252,5835,6417,6646,61.7363827866386,23.7,57.7701599738818
"Alabama","Clarke County",22337,10581,11756,11946,58.3040348233718,23.6,52.2496306576532
"Alabama","Clay County",14111,6875,7236,6757,84.8601450347787,26.1,82.9211253631918
"Alabama","Cleburne County",15639,7753,7886,7637,91.5018986513029,26.8,94.4369844619221
"Alabama","Coffee County",55643,27581,28062,22270,78.5585990121239,26.1,75.8819617921392
"Alabama","Colbert County",58361,27995,30366,27086,72.7829875212287,24.8,80.2933465841915
"Alabama","Conecuh County",11174,5405,5769,6043,56.6440509680622,23.7,51.5482369787006
"Alabama","Coosa County",10268,5192,5076,5264,71.3905775075988,23.7,68.0366186209583
"Alabama","Covington County",37952,18294,19658,17072,85.9711808809747,25.5,84.0614460370995
"Alabama","Crenshaw County",13101,6428,6673,6480,77.1604938271605,25,71.666285016411
"Alabama","Cullman County",92016,45821,46195,43052,89.9005853386602,25.9,95.6887932533472
"Alabama","Dale County",49871,24464,25407,19103,75.778673506779,25,72.370716448437
"Alabama","Dallas County",36165,16835,19330,15528,33.4234930448223,23,27.0869625328356
"Alabama","DeKalb County",72569,36278,36291,29583,86.6477368759085,27.1,92.087530488225
"Alabama","Elmore County",90441,43994,46447,41491,75.6163987370755,25.9,74.762552382216
"Alabama","Escambia County",36558,18279,18279,14929,72.9050840645723,24.8,62.136878385032
"Alabama","Etowah County",103241,50117,53124,46023,77.4677878452078,26.7,80.7479586598348
"Alabama","Fayette County",15967,7878,8089,8356,85.6629966491144,27.8,85.6767082106845
"Alabama","Franklin County",31802,15918,15884,12077,86.2548646186967,26.5,91.2552669643419
"Alabama","Geneva County",26988,13236,13752,12390,88.2082324455206,27.6,86.527345486883
"Alabama","Greene County",7341,3416,3925,4035,21.9330855018587,22.1,18.267266040049
"Alabama","Hale County",14888,7035,7853,7290,46.2139917695473,23.6,40.2270284793122
"Alabama","Henry County",17899,8600,9299,9301,75.1424578002365,24.3,72.6185820436896
"Alabama","Houston County",108462,51975,56487,44195,73.4675868310895,26,67.9500654607143
"Alabama","Jackson County",53467,26416,27051,23509,85.3843208983793,27.6,91.0786092356033
"Alabama","Jefferson County",662895,314136,348759,296741,44.1876922973233,22.3,52.8750405418656
"Alabama","Lamar County",13661,6755,6906,6875,87.7527272727273,26.2,87.1824903008565
"Alabama","Lauderdale County",96814,46550,50264,43454,75.2704008836931,25.4,86.0898217199992
"Alabama","Lawrence County",33502,16401,17101,16115,80.8191126279863,27,78.7564921497224
"Alabama","Lee County",183215,90324,92891,72695,63.3055918563863,25.3,70.5024151952624
"Alabama","Limestone County",114654,57526,57128,53096,71.3556576766611,24.9,79.6858373890139
"Alabama","Lowndes County",9717,4621,5096,5652,31.104033970276,23,25.6869404137079
"Alabama","Macon County",18370,8321,10049,7820,21.5089514066496,22.2,18.4158954817637
"Alabama","Madison County",412600,203199,209401,196355,53.6935652262484,23.1,68.2018904507998
"Alabama","Marengo County",18684,8866,9818,9673,51.6385816189393,23.7,46.2641832584029
"Alabama","Marion County",29244,14578,14666,13523,90.5494342971234,26.8,93.2943509779784
"Alabama","Marshall County",100756,49950,50806,40277,85.4929612433895,26.2,92.1265234824725
"Alabama","Mobile County",411640,196562,215078,174545,57.7266607465124,23.3,58.1998833932562
"Alabama","Monroe County",19229,9201,10028,9799,61.302173691193,23.8,54.022570076447
"Alabama","Montgomery County",224980,105590,119390,89375,34.1001398601399,22,33.442083740777
"Alabama","Morgan County",125133,61986,63147,53369,75.791189641927,26.1,82.088657668241
"Alabama","Perry County",7738,3592,4146,4457,28.472066412385,24.4,28.2889635564745
"Alabama","Pickens County",18688,9512,9176,8898,61.4182962463475,24.4,58.4599743150685
"Alabama","Pike County",33137,15813,17324,13214,62.237021341002,24.1,56.72511090322
"Alabama","Randolph County",22786,11162,11624,11075,82.1851015801354,25,78.688668480646
"Alabama","Russell County",58744,27923,30821,20679,48.735432080855,24.6,48.9071224295247
"Alabama","St. Clair County",95552,47341,48211,43440,81.7242173112339,26.4,85.4634125920965
"Alabama","Shelby County",233000,113397,119603,114043,69.8561069070438,23.5,80.6824034334764
"Alabama","Sumter County",11727,5402,6325,5297,29.1108174438361,23.2,27.330092947898
"Alabama","Talladega County",81132,39456,41676,33175,66.6164280331575,26.2,64.1929201794606
"Alabama","Tallapoosa County",40677,19879,20798,19980,74.4944944944945,25.1,70.6689283870492
"Alabama","Tuscaloosa County",237373,114323,123050,84879,59.7603647545329,24.6,63.7174404839641
"Alabama","Walker County",64728,31553,33175,29747,85.6019094362457,27.7,90.6531949079224
"Alabama","Washington County",15022,7396,7626,8430,77.508896797153,25.6,66.5623751830648
"Alabama","Wilcox County",9944,4636,5308,5260,34.0874524714829,23.2,28.5599356395817
"Alabama","Winston County",23611,11753,11858,11129,91.571569772666,26.8,95.4131548854348
"Alaska","Aleutians East Borough",3461,2431,1030,7271,49.3604731123642,10.7,26.0329384570933
"Alaska","Aleutians West Census Area",5160,3639,1521,9273,42.3703224414968,11.5,34.6511627906977
"Alaska","Anchorage Municipality",286075,146316,139759,6965,43.6611629576454,16.5,61.7893908939963
"Arizona","Apache County",65036,32179,32857,32019,39.9606483650333,20.8,23.58232363614
"Arizona","Cochise County",124640,63017,61623,58923,60.988069175025,18.3,87.6773106546855
"Arizona","Coconino County",144472,71518,72954,70067,39.3566158105813,20.6,65.8321335622127
"Arizona","Gila County",54003,26948,27055,27648,68.3629918981482,20.3,77.9271521952484
"Arizona","Graham County",39525,21130,18395,15183,73.6152275571363,19.5,81.7356103731815
"Arizona","Greenlee County",9369,4853,4516,3308,69.770253929867,19.3,88.6113779485537
"Arizona","La Paz County",16710,8537,8173,7624,71.7471143756558,17.8,75.9066427289049
"Arizona","Maricopa County",4585871,2280286,2305585,2053945,51.1956746650957,18.4,81.2544007452456
"Arizona","Mohave County",223682,113255,110427,110450,77.5762788592123,20.1,90.9384751566957
"Arizona","Navajo County",109175,54413,54762,50706,58.1390762434426,23.2,51.7572704373712
"Arizona","Pima County",1063162,525252,537910,513176,41.831457433707,20.4,83.8336020286654
"Arizona","Pinal County",484239,249744,234495,209552,60.570168740933,19.3,81.2216694648717
"Arizona","Santa Cruz County",49158,23968,25190,19121,40.2646305109565,17.6,94.9774197485659
"Arizona","Yavapai County",249081,122632,126449,149402,66.4957631089276,20.4,92.6309112296803
"Arizona","Yuma County",213221,109997,103224,68195,59.7477820954615,19.3,90.566595222797
"Arkansas","Arkansas County",16307,7902,8405,5547,71.2276906435911,22.6,71.0001839700742
"Arkansas","Ashley County",18262,8826,9436,7030,73.1863442389758,23.5,72.6919285948965
"Arkansas","Baxter County",42875,20941,21934,20954,77.5651426935191,23.3,95.8950437317784
"Arkansas","Benton County",311013,155931,155082,128595,62.1384968311365,21.8,87.1066482751525
"Arkansas","Boone County",38530,19087,19443,17112,81.6269284712482,24,95.3335063586815
"Arkansas","Bradley County",10104,4920,5184,3209,68.9622935493923,22.3,67.4287410926366
"Arkansas","Calhoun County",4641,2353,2288,2092,80.019120458891,23.1,74.983839689722
"Arkansas","Carroll County",28814,14500,14314,11538,64.7425897035881,23,90.483792600819
"Arkansas","Chicot County",9538,4909,4629,3490,47.5071633237822,22.3,43.5730761165863
